id,value
Manager
Manager.node_0
Manager.node_0.room_0
Manager.node_0.room_0.uid_Peter Thompson
Manager.node_0.room_0.uid_Gloria Sanders
Manager.node_0.room_0.uid_Betty Ryan
Manager.node_0.room_1
Manager.node_0.room_1.uid_Sandra Sullivan
Manager.node_0.room_1.uid_Sandra Gonzales
Manager.node_0.room_1.uid_Shirley Nichols
Manager.node_0.room_2
Manager.node_0.room_2.uid_Tina Myers
Manager.node_0.room_2.uid_Betty Edwards
Manager.node_0.room_2.uid_Dorothy Stewart
Manager.node_0.room_3
Manager.node_0.room_3.uid_Paula Tucker
Manager.node_0.room_3.uid_Jane Ramirez
